V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,RELATED_CVD,INIT_GP,P_AD_DUTY,F_AD_DUTY,P_AD_MARGIN,F_AD_MARGIN,P_GP,F_GP,NOTES,FURTHER NOTES
Q4_2012,European Union,EUN-AD-22,EUN-AD-21,Mexico,MEX,Iron or Steel Coils,05/12/1987,01/20/1988,01/20/1988,A,A,01/20/1988,SD,07/18/1988,07/18/1988,A,A,07/18/1988,MI,12/12/1991,1991,MI,.,.,.,.,1987-C126-2,ECU50/1000kg,ECU50/1000kg,.,22.20,1988-L18-31,1988-L188-18,,
Q4_2012,European Union,EUN-AD-23,EUN-AD-21,Yugoslavia,YUG,Iron or Steel Coils,05/12/1987,01/20/1988,01/20/1988,A,A,01/20/1988,SD,07/18/1988,07/18/1988,A,A,07/18/1988,MI,12/12/1991,1991,MI,.,.,.,.,1987-C126-2,ECU64/1000kg,MI,.,25.20,1988-L18-31,1988-L188-18,,
Q4_2012,European Union,EUN-AD-24,EUN-AD-24,South Korea,KOR,Oxalic Acid,05/22/1987,MI,MI,MI,MI,MI,MI,MI,MI,A,A,11/07/1988,AVD,MI,MI,MI,.,.,.,.,MI,MI,MI,MI,MI,MI,MI,,
Q4_2012,European Union,EUN-AD-25,EUN-AD-24,Taiwan,TWN,Oxalic Acid,05/22/1987,MI,MI,MI,MI,MI,MI,MI,MI,A,A,11/07/1988,AVD/PU,MI,MI,MI,.,.,.,.,MI,MI,MI,MI,MI,MI,MI,,
Q4_2012,European Union,EUN-AD-26,EUN-AD-26,USA,USA,Synthetic Textile Fibres of Polyester,07/01/1987,06/14/1988,06/14/1988,A,A,06/14/1988,AVD,12/16/1988,12/16/1988,A,A,12/16/1988,AVD,10/19/1992,1992,MI,.,.,.,.,1987-C173-10,6.70,6.20,.,.,1988-L151-47,1988-L348-49,,
Q4_2012,European Union,EUN-AD-27,EUN-AD-26,Mexico,MEX,Synthetic Textile Fibres of Polyester,07/01/1987,06/14/1988,06/14/1988,A,A,06/14/1988,AVD,12/16/1988,12/16/1988,A,A,12/16/1988,AVD,10/19/1992,1992,MI,.,.,.,.,1987-C173-10,43.00,22.10,.,.,1988-L151-47,1988-L348-49,,
Q4_2012,European Union,EUN-AD-28,EUN-AD-26,Turkey,TUR,Synthetic Textile Fibres of Polyester,07/01/1987,06/14/1988,06/14/1988,A,A,06/14/1988,AVD,12/16/1988,12/16/1988,A,A,12/16/1988,AVD,10/14/1997,1997,MI,.,.,.,.,1987-C173-10,12.40,11.90,.,.,1988-L151-47,1988-L348-49,,
Q4_2012,European Union,EUN-AD-29,EUN-AD-26,Taiwan,TWN,Synthetic Textile Fibres of Polyester,07/01/1987,06/14/1988,06/14/1988,A,A,06/14/1988,AVD,12/16/1988,12/16/1988,A,A,12/16/1988,AVD,09/24/2003,2003,MI,.,.,.,.,1987-C173-10,20.40,15.80,.,.,1988-L151-47,1988-L348-49,,
Q4_2012,European Union,EUN-AD-30,EUN-AD-26,Romania,ROU,Synthetic Textile Fibres of Polyester,07/01/1987,06/14/1988,06/14/1988,A,A,06/14/1988,AVD,12/16/1988,12/16/1988,A,A,12/16/1988,AVD,10/14/1997,1997,MI,.,.,.,.,1987-C173-10,45.80,23.40,.,.,1988-L151-47,1988-L348-49,,
Q4_2012,European Union,EUN-AD-31,EUN-AD-26,Yugoslavia,YUG,Synthetic Textile Fibres of Polyester,07/01/1987,06/14/1988,06/14/1988,A,A,06/14/1988,AVD,12/16/1988,12/16/1988,A,A,12/16/1988,AVD,10/14/1997,1997,MI,.,.,.,.,1987-C173-10,24.60,18.70,.,.,1988-L151-47,1988-L348-49,,
Q4_2012,European Union,EUN-AD-32,EUN-AD-32,Mexico,MEX,Polyester Yarn (Man Made Staple Fibres),07/01/1987,06/14/1988,06/14/1988,A,A,06/14/1988,AVD,12/12/1988,12/12/1988,A,A,12/12/1988,AVD,02/10/1991,1991,MI,.,.,.,.,1987-C173-11,34.70,26.70,.,.,1988-L151-39,1988-L347-10,One single petition but different duties for 2 types of different products with similar codes,
Q4_2012,European Union,EUN-AD-33,EUN-AD-32,Turkey,TUR,Polyester Yarn (Man Made Staple Fibres),07/01/1987,06/14/1988,06/14/1988,A,A,06/14/1988,AVD,12/12/1988,12/12/1988,A,A,12/12/1988,AVD,06/08/2001,2001,MI,.,.,.,.,1987-C173-11,13.20,13.20,.,.,1988-L151-39,1988-L347-10,One single petition but different duties for 2 types of different products with similar codes,
Q4_2012,European Union,EUN-AD-34,EUN-AD-32,South Korea,KOR,Polyester Yarn (Man Made Staple Fibres),07/01/1987,06/14/1988,06/14/1988,A,A,06/14/1988,AVD,12/12/1988,12/12/1988,A,A,12/12/1988,AVD,06/18/1994,1994,MI,.,.,.,.,1987-C173-11,23.70,8.10,.,.,1988-L151-39,1988-L347-10,One single petition but different duties for 2 types of different products with similar codes,
Q4_2012,European Union,EUN-AD-35,EUN-AD-32,Taiwan,TWN,Polyester Yarn (Man Made Staple Fibres),07/01/1987,06/14/1988,06/14/1988,A,A,06/14/1988,AVD,12/12/1988,12/12/1988,A,A,12/12/1988,AVD,09/22/2003,2003,MI,.,.,.,.,1987-C173-11,17.40,8.70,.,.,1988-L151-39,1988-L347-10,One single petition but different duties for 2 types of different products with similar codes,
Q4_2012,European Union,EUN-AD-36,EUN-AD-36,USSR,USR,Calcium Metal,07/01/1987,03/17/1989,03/17/1989,A,A,03/22/1989,AVD,09/18/1989,09/18/1989,A,A,09/21/1989,SD,06/11/1992,1992,SD,.,.,.,.,MI,10.70,22.00,19.00,22.00,1989-L078,1989-L271,"Init date approximated, Final duties are as % of import - normal value prices",
Q4_2012,European Union,EUN-AD-37,EUN-AD-36,China,CHN,Calcium Metal,07/01/1987,03/17/1989,03/17/1989,A,A,03/22/1989,AVD,09/18/1989,09/18/1989,A,A,09/21/1989,SD,06/11/1992,1992,SD,.,.,.,.,MI,10.70,21.80,27.20,21.80,1989-L078,1989-L271,"Init date approximated, Final duties are as % of import - normal value prices",
Q4_2012,European Union,EUN-AD-38,EUN-AD-38,Japan,JPN,Compact Disc Players,07/07/1987,07/12/1989,07/12/1989,A,A,07/12/1989,AVD,01/16/1990,01/16/1990,A,A,01/16/1990,AVD,08/24/1993,1993,MI,.,.,.,.,1987-C178-7,33.90,32.00,.,.,1989-L205-5,1990-L13-21,,
Q4_2012,European Union,EUN-AD-39,EUN-AD-38,South Korea,KOR,Compact Disc Players,07/07/1987,07/12/1989,07/12/1989,A,A,07/12/1989,AVD,01/16/1990,01/16/1990,A,A,01/16/1990,AVD,08/24/1993,1993,MI,.,.,.,.,1987-C178-7,32.50,26.10,.,.,1989-L205-5,1990-L13-21,,
Q4_2012,European Union,EUN-AD-40,EUN-AD-40,Japan,JPN,DRAMs (Dynamic Random Access Memories),07/09/1987,01/23/1990,01/23/1990,A,A,01/23/1990,AVD,07/23/1990,07/23/1990,A,A,07/23/1990,AVD,11/10/1997,1997,MI,.,.,.,.,1987-C181-3,60.00,60.00,.,.,1990-L20-5,1990-L193-1,,
Q4_2012,European Union,EUN-AD-41,EUN-AD-41,Canada,CAN,Cellular Mobile Telephones,07/15/1987,.,.,.,.,.,.,12/23/1988,12/23/1988,T,T,.,.,.,.,MI,.,.,.,.,1987-C185-2,.,.,.,.,.,1988-L362-59,,
Q4_2012,European Union,EUN-AD-42,EUN-AD-41,Japan,JPN,Cellular Mobile Telephones,07/15/1987,.,.,.,.,.,.,12/23/1988,12/23/1988,T,T,.,.,.,.,.,.,.,.,.,1987-C185-2,.,.,.,.,.,1988-L362-59,,
Q4_2012,European Union,EUN-AD-43,EUN-AD-43,Turkey,TUR,Certain Iron or Steel Sections (Hot Rolled),08/14/1987,07/20/1988,07/20/1988,A,A,07/20/1988,SD,11/18/1988,11/18/1988,A,A,11/18/1988,PU,11/21/1993,1993,PU,.,.,.,.,1987-C216-2,ECU39/1000kg,ECU39/ton,.,.,1988-L190-5,1988-L313-18,,
Q4_2012,European Union,EUN-AD-44,EUN-AD-43,Yugoslavia,YUG,Certain Iron or Steel Sections (Hot Rolled),08/14/1987,07/20/1988,07/20/1988,A,A,07/20/1988,SD,11/18/1988,11/18/1988,A,A,11/18/1988,PU,11/21/1993,1993,PU,.,.,.,.,1987-C216-2,ECU30/1000kg,ECU30/ton,.,.,1988-L190-5,1988-L313-18,,
Q4_2012,European Union,EUN-AD-45,EUN-AD-45,South Korea,KOR,Video Cassette Recorders,09/26/1987,08/26/1988,08/26/1988,A,A,08/26/1988,AVD,02/27/1989,02/27/1989,A,A,02/27/1989,PU,03/01/1994,1994,PU,.,.,.,.,1987-C256-15,29.20,23.70,.,.,1988-L240-5,1989-L57-61,,
Q4_2012,European Union,EUN-AD-46,EUN-AD-45,Japan,JPN,Video Cassette Recorders,09/26/1987,08/26/1988,08/26/1988,A,A,08/26/1988,AVD,02/27/1989,02/27/1989,A,A,02/27/1989,AVD,03/02/1994,1994,AVD,.,.,.,.,1987-C256-15,18.00,13.00,.,.,1988-L240-5,1989-L57-55,,
Q4_2012,European Union,EUN-AD-47,EUN-AD-47,Malaysia,MYS,Urea,10/09/1987,08/24/1988,08/24/1988,A,A,08/24/1988,AVD,02/21/1989,02/21/1989,A,A,02/21/1989,PU,02/25/1994,1994,PU,.,.,.,.,1987-C271-4,31.50,.,.,.,1988-L235-5,1989-L52-37,,
Q4_2012,European Union,EUN-AD-48,EUN-AD-47,Austria,AUT,Urea,10/09/1987,08/24/1988,08/24/1988,A,A,08/24/1988,AVD,02/21/1989,02/21/1989,A,A,02/21/1989,PU,02/25/1994,1994,PU,.,.,.,.,1987-C271-4,1.70,.,.,.,1988-L235-5,1989-L52-37,,
Q4_2012,European Union,EUN-AD-49,EUN-AD-47,Hungary,HUN,Urea,10/09/1987,08/24/1988,08/24/1988,A,A,08/24/1988,AVD,02/21/1989,02/21/1989,A,A,02/21/1989,PU,02/25/1994,1994,PU,.,.,.,.,1987-C271-4,51.00,.,.,.,1988-L235-5,1989-L52-37,,
Q4_2012,European Union,EUN-AD-50,EUN-AD-47,Romania,ROU,Urea,10/09/1987,08/24/1988,08/24/1988,A,A,08/24/1988,AVD,02/21/1989,02/21/1989,A,A,02/21/1989,PU,08/26/1994,1994,PU,.,.,.,.,1987-C271-4,54.20,.,.,.,1988-L235-5,1989-L52-37,,
Q4_2012,European Union,EUN-AD-51,EUN-AD-47,USA,USA,Urea,10/09/1987,08/24/1988,08/24/1988,A,A,08/24/1988,AVD,02/20/1989,02/20/1989,A,A,02/20/1989,AVD,02/26/1994,1994,AVD,.,.,.,.,1987-C271-4,12.00,12.00,.,21.00,1988-L235-5,1989-L52-1,,
Q4_2012,European Union,EUN-AD-52,EUN-AD-47,Venezuela,VEN,Urea,10/09/1987,08/24/1988,08/24/1988,A,A,08/24/1988,AVD,02/20/1989,02/20/1989,A,A,02/20/1989,AVD,09/30/1996,1996,AVD,.,.,.,.,1987-C271-4,35.00,21.50,.,21.50,1988-L235-5,1989-L52-1,,
Q4_2012,European Union,EUN-AD-53,EUN-AD-53,Hong Kong,HKG,Video Cassette Tapes,12/18/1987,12/23/1988,12/23/1988,A,A,12/23/1988,AVD,06/19/1989,06/19/1989,A,A,06/19/1989,AVD,01/06/1998,1998,AVD,.,.,.,.,1987-C340-6,59.30,21.90,.,.,1988-L356-47,1989-L174-1,,
Q4_2012,European Union,EUN-AD-54,EUN-AD-53,South Korea,KOR,Video Cassette Tapes,12/18/1987,12/23/1988,12/23/1988,A,A,12/23/1988,AVD,06/19/1989,06/19/1989,A,A,06/19/1989,AVD,01/06/1998,1998,AVD,.,.,.,.,1987-C340-6,3.81,3.80,.,.,1988-L356-47,1989-L174-1,,
Q4_2012,European Union,EUN-AD-55,EUN-AD-55,South Korea,KOR,Polyester Film,01/12/1988,.,.,.,.,.,.,10/17/1989,10/17/1989,T,T,.,.,.,.,.,.,.,.,.,1988-C7-9,.,.,.,.,.,1989-L305-31,,
Q4_2012,European Union,EUN-AD-56,EUN-AD-56,Yugoslavia,YUG,Sheets of Iron or Non-Alloy Steel,01/22/1988,03/21/1989,03/21/1989,A,A,03/21/1989,SD,07/08/1989,07/08/1989,A,A,07/08/1989,MI,07/10/1994,1994,MI,.,.,.,.,1988-C17-2,ECU54/1000kg,ECU54/1000kg,MI,15.40,1989-L78-14,1989-L193-11,,
Q4_2012,European Union,EUN-AD-57,EUN-AD-57,China,CHN,Calcium Metal ,01/26/1988,MI,MI,MI,MI,MI,MI,MI,MI,A,A,09/18/1989,AVD,MI,MI,MI,.,.,.,.,MI,MI,MI,MI,MI,MI,MI,,
Q4_2012,European Union,EUN-AD-58,EUN-AD-57,Russia,USR,Calcium Metal ,01/26/1988,MI,MI,MI,MI,MI,MI,MI,MI,A,A,09/18/1989,AVD,MI,MI,MI,.,.,.,.,MI,MI,MI,MI,MI,MI,MI,,
Q4_2012,European Union,EUN-AD-59,EUN-AD-59,Austria,AUT,Stainless Steel Tubes,01/29/1988,.,.,.,.,.,.,01/20/1989,01/20/1989,T,T,.,.,.,.,MI,.,.,.,.,1988-C24-3,.,.,.,.,.,1989-L25-87,,
Q4_2012,European Union,EUN-AD-60,EUN-AD-60,South Korea,KOR,Small Screen Colour Television Receivers,02/17/1988,10/24/1989,10/24/1989,A,A,10/24/1989,AVD,04/27/1990,04/27/1990,A,A,04/25/1990,AVD,08/29/2007,2007,MI,.,.,.,.,1988-C44-2,19.60,MI,MI,MI,1989-L314-1,1990-L107-56,,
Q4_2012,European Union,EUN-AD-61,EUN-AD-61,Hong Kong,HKG,Cellular Mobile Telephones,03/17/1988,.,.,.,.,.,.,12/23/1988,12/23/1988,T,T,.,.,.,.,MI,.,.,.,.,1988-C71-12,.,.,.,.,.,1988-L362-59,,
Q4_2012,European Union,EUN-AD-62,EUN-AD-62,Japan,JPN,Wheeled Loaders,06/03/1988,.,.,.,.,.,.,02/09/1989,02/09/1989,W,W,.,.,.,.,MI,.,.,.,.,1988-C146-4,.,.,.,.,.,1989-L39-35,,
Q4_2012,European Union,EUN-AD-63,EUN-AD-63,Japan,JPN,Small Hydraulic Excavators,06/03/1988,.,.,.,.,.,.,08/22/1989,08/22/1989,T,T,.,.,.,.,MI,.,.,.,.,1988-C146-3,.,.,.,.,.,1989-L249-71,,
Q4_2012,European Union,EUN-AD-64,EUN-AD-64,Indonesia,IDN,Glutamic Acid (Monosodium Glutamate),06/04/1988,03/02/1990,03/02/1990,A,A,03/02/1990,SD/PU,06/27/1990,06/27/1990,A,A,06/27/1990,MI,09/29/2008,2008,MI,.,.,.,.,1988-C147-3,ECU0.51/kg,.,47.00,.,1990-L56-23,1990-L167-1,,
Q4_2012,European Union,EUN-AD-65,EUN-AD-64,South Korea,KOR,Glutamic Acid (Monosodium Glutamate),06/04/1988,03/02/1990,03/02/1990,A,A,03/02/1990,SD/PU,06/27/1990,06/27/1990,A,A,06/27/1990,MI,09/18/2003,2003,MI,.,.,.,.,1988-C147-3,ECU0.189/kg,.,16.80,.,1990-L56-23,1990-L167-1,,
Q4_2012,European Union,EUN-AD-66,EUN-AD-64,Thailand,THA,Glutamic Acid (Monosodium Glutamate),06/04/1988,03/02/1990,03/02/1990,A,A,03/02/1990,SD/PU,06/27/1990,06/27/1990,A,A,06/27/1990,MI,01/19/1996,1996,MI,.,.,.,.,1988-C147-3,ECU0.407/kg,.,34.70,.,1990-L56-23,1990-L167-1,,
Q4_2012,European Union,EUN-AD-67,EUN-AD-64,Taiwan,TWN,Glutamic Acid (Monosodium Glutamate),06/04/1988,03/02/1990,03/02/1990,A,A,03/02/1990,SD/PU,06/27/1990,06/27/1990,A,A,06/27/1990,MI,09/18/2003,2003,MI,.,.,.,.,1988-C147-3,ECU0.653/kg,.,54.30,.,1990-L56-23,1990-L167-1,,
Q4_2012,European Union,EUN-AD-68,EUN-AD-68,Thailand,THA,Ball Bearings with Greatest External Diameter not Exceeding 30 mm,06/04/1988,06/13/1990,06/13/1990,A,A,06/17/1990,SD,10/09/1990,10/09/1990,A,A,10/13/1990,SD,10/14/1995,1995,MI,.,.,.,.,MI,6.70,6.70,6.71,6.71,1990-L152,1990-L281,Also facing CVD of 13% due to subsidy; Init date from contact,
Q4_2012,European Union,EUN-AD-69,EUN-AD-69,Romania,ROU,Welded Tubes of Iron or Non-Alloy Steel,09/16/1988,10/11/1989,10/11/1989,A,A,10/11/1989,AVD,04/02/1990,04/02/1990,A,A,04/02/1990,PU,12/18/1995,1995,MI,.,.,.,.,1988-C241-3,22.00,.,.,31.70,1989-L294-10,1990-L91-36,,
Q4_2012,European Union,EUN-AD-70,EUN-AD-69,Yugoslavia,YUG,Welded Tubes of Iron or Non-Alloy Steel,09/16/1988,10/11/1989,10/11/1989,A,A,10/11/1989,AVD,04/02/1990,04/02/1990,A,A,04/02/1990,PU,04/08/1995,1995,MI,.,.,.,.,1988-C241-3,18.00,.,.,40.60,1989-L294-10,1990-L91-36,,
Q4_2012,European Union,EUN-AD-71,EUN-AD-71,Finland,FIN,Diesel Engines,09/27/1988,.,.,B,B,.,.,03/16/1990,03/16/1990,A,A,03/16/1990,PU,MI,MI,MI,.,.,.,.,1988-C251-3,.,.,.,11.30,.,1990-L76-28,,
Q4_2012,European Union,EUN-AD-72,EUN-AD-71,Sweden,SWE,Diesel Engines,09/27/1988,.,.,B,B,.,.,03/16/1990,03/16/1990,A,A,03/16/1990,PU,MI,MI,MI,.,.,.,.,1988-C251-3,.,.,.,19.60,.,1990-L76-28,,
Q4_2012,European Union,EUN-AD-73,EUN-AD-73,Hong Kong,HKG,Small Screen Colour Television Receivers,11/12/1988,01/11/1991,01/11/1991,A,A,01/11/1991,AVD,07/15/1991,07/15/1991,A,A,07/15/1991,AVD,07/20/1996,1996,MI,.,.,.,.,1988-C288-13,4.80,4.80,.,.,1991-L14-31,1991-L195-1,,
Q4_2012,European Union,EUN-AD-74,EUN-AD-73,China,CHN,Small Screen Colour Television Receivers,11/12/1988,01/11/1991,01/11/1991,A,A,01/11/1991,AVD,07/15/1991,07/15/1991,A,A,07/15/1991,AVD,08/29/2007,2007,MI,.,.,.,.,1988-C288-13,17.40,15.30,.,.,1991-L14-31,1991-L195-1,,
Q4_2012,European Union,EUN-AD-75,EUN-AD-75,Japan,JPN,Ferroboron,12/01/1988,03/16/1990,03/16/1990,A,A,03/16/1990,AVD,07/16/1990,07/16/1990,A,A,07/16/1990,AVD,07/21/1995,1995,MI,.,.,.,.,1988-C306-7,23.30,MI,.,.,1990-L73-6,1990-L187-1,,
Q4_2012,European Union,EUN-AD-76,EUN-AD-76,China,CHN,Barium Chloride,12/03/1988,07/31/1989,07/31/1989,A,A,07/31/1989,AVD,03/04/1991,03/04/1991,A,A,03/05/1991,AVD,03/09/1996,1996,AVD,.,.,.,.,MI,25.43,25.80,46.11,50.13,1989-L227,1991-L60,,
