V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,RELATED_CVD,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-11,IND-AD-10,Russia,RUS,Bisphenol-A,12/30/1994,.,.,B,B,.,.,11/20/1995,11/20/1995,A,A,12/26/1995,SD,MI,2000,SD,MI,MI,G/ADP/N/9/IND,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-12,IND-AD-12,China,CHN,Potassium Permanganate,12/30/1994,.,.,B,B,.,.,07/24/1995,07/24/1995,A,A,09/05/1995,SD,MI,2001,SD,MI,MI,G/ADP/N/9/IND,.,Website says no preliminary stage issue. Dates for final findings on MTR don't match with final findings document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-13,IND-AD-13,China,CHN,Dead Burnt Magnesite (DBM),05/16/1995,06/10/1996,06/10/1996,A,A,MI,SD,11/12/1996,11/12/1996,A,A,12/20/1996,SD,MI,2000,SD,MI,MI,MI,.,"Concerned with DBM of Chinese ORIGIN, so exporters from Germany and other countries also targeted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-14,IND-AD-14,Russia,RUS,Low Carbon Ferro Chrome,06/06/1995,05/21/1996,05/21/1996,A,A,MI,SD,12/03/1996,12/03/1996,A,A,01/24/1997,SD,MI,2000,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-15,IND-AD-14,Kazakhstan,KAZ,Low Carbon Ferro Chrome,06/06/1995,05/21/1996,05/21/1996,A,A,MI,SD,12/03/1996,12/03/1996,A,A,01/24/1997,SD,MI,2000,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-16,IND-AD-14,Ukraine,UKR,Low Carbon Ferro Chrome,06/06/1995,05/21/1996,05/21/1996,N,.,.,.,12/03/1996,12/03/1996,W,W,.,.,.,.,.,.,.,.,.,"On the written request of the petitioner, the Authority under Rule 14 supra terminated the investigation against allegation of dumping of Ukraine origin ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-17,IND-AD-17,China,CHN,Sodium Ferrocyanide,10/11/1995,08/08/1996,08/08/1996,A,A,MI,SD,10/10/1996,10/10/1996,A,A,12/20/1996,SD,09/04/2006,2006,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-18,IND-AD-18,USA,USA,Bisphenol-A,11/20/1995,10/25/1996,10/25/1996,A,A,11/27/1996,SD,03/18/1997,03/18/1997,A,A,04/29/1997,SD,MI,2000,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-19,IND-AD-19,China,CHN,8-Hydroxyquinoline,03/04/1996,09/06/1996,09/06/1996,A,A,10/16/1996,SD,02/28/1997,02/28/1997,A,A,04/01/1997,SD,MI,2000,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-20,IND-AD-20,Germany,DEU,Acrylonitrile Butadiene Rubber (Nbr),03/15/1996,12/30/1996,12/30/1996,A,A,01/31/1997,SD,07/17/1997,07/17/1997,A,A,07/30/1997,SD,01/02/2009,2009,SD,MI,MI,MI,.,There is a second round of MTR. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-21,IND-AD-20,South Korea,KOR,Acrylonitrile Butadiene Rubber (Nbr),03/15/1996,12/30/1996,12/30/1996,A,A,01/31/1997,SD,07/17/1997,07/17/1997,A,A,07/30/1997,SD,IF,IF,SD,MI,MI,MI,.,There is a second round of MTR. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-22,IND-AD-22,Denmark,DNK,Catalysts,09/06/1996,05/07/1997,05/07/1997,A,A,06/20/1997,SD,01/05/1998,01/05/1998,A,A,02/02/1998,SD,09/19/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-23,IND-AD-23,USA,USA,Acrylic Fibre,09/13/1996,03/31/1997,03/31/1997,A,A,MI,SD,10/14/1997,10/14/1997,A,A,10/24/1997,SD,MI,MI,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-24,IND-AD-23,Thailand,THA,Acrylic Fibre,09/13/1996,03/31/1997,03/31/1997,A,A,MI,SD,10/14/1997,10/14/1997,A,A,10/24/1997,SD,IF,IF,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-25,IND-AD-23,South Korea,KOR,Acrylic Fibre,09/13/1996,03/31/1997,03/31/1997,A,A,04/25/1997,SD,10/14/1997,10/14/1997,A,A,10/24/1997,SD,IF,IF,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-26,IND-AD-26,USA,USA,Graphite Electrodes ,09/30/1996,06/09/1997,06/09/1997,A,A,10/21/1997,SD,03/27/1998,03/27/1998,A,A,05/05/1998,SD,04/09/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-27,IND-AD-26,China,CHN,Graphite Electrodes ,09/30/1996,06/09/1997,06/09/1997,A,A,10/21/1997,SD,03/27/1998,03/27/1998,A,A,05/05/1998,SD,07/06/2009,2009,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-28,IND-AD-26,Germany,DEU,Graphite Electrodes ,09/30/1996,06/09/1997,06/09/1997,A,A,10/21/1997,SD,03/27/1998,03/27/1998,A,A,05/05/1998,SD,04/09/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-29,IND-AD-26,Belgium,BEL,Graphite Electrodes ,09/30/1996,06/09/1997,06/09/1997,A,A,10/21/1997,SD,03/27/1998,03/27/1998,A,A,05/05/1998,SD,04/09/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-30,IND-AD-26,Austria,AUT,Graphite Electrodes ,09/30/1996,06/09/1997,06/09/1997,A,A,10/21/1997,SD,03/27/1998,03/27/1998,A,A,05/05/1998,SD,04/09/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-31,IND-AD-26,France,FRA,Graphite Electrodes ,09/30/1996,06/09/1997,06/09/1997,A,A,10/21/1997,SD,03/27/1998,03/27/1998,A,A,05/05/1998,SD,04/09/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-32,IND-AD-26,Spain,ESP,Graphite Electrodes ,09/30/1996,06/09/1997,06/09/1997,A,A,10/21/1997,SD,03/27/1998,03/27/1998,A,A,05/05/1998,SD,04/09/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-33,IND-AD-26,Italy,ITA,Graphite Electrodes ,09/30/1996,06/09/1997,06/09/1997,A,A,10/21/1997,SD,03/27/1998,03/27/1998,A,A,05/05/1998,SD,04/09/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-34,IND-AD-34,USA,USA,Newsprint,12/20/1996,06/11/1997,06/11/1997,A,A,.,.,03/19/1998,03/19/1998,A,A,.,.,.,.,.,.,.,.,.,not imposed by Ministry of Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-35,IND-AD-34,Canada,CAN,Newsprint,12/20/1996,06/11/1997,06/11/1997,A,A,.,.,03/19/1998,03/19/1998,A,A,.,.,.,.,.,.,.,.,.,not imposed by Ministry of Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-36,IND-AD-34,Russia,RUS,Newsprint,12/20/1996,06/11/1997,06/11/1997,A,A,.,.,03/19/1998,03/19/1998,A,A,.,.,.,.,.,.,.,.,.,not imposed by Ministry of Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-37,IND-AD-37,South Korea,KOR,Purified Terephthalic Acid (PTA),12/20/1996,09/04/1997,09/04/1997,A,A,11/21/1997,SD,03/19/1998,03/19/1998,A,A,04/28/1998,SD,05/06/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-38,IND-AD-37,Thailand,THA,Purified Terephthalic Acid (PTA),12/20/1996,09/04/1997,09/04/1997,A,A,11/21/1997,SD,03/19/1998,03/19/1998,A,A,04/28/1998,SD,05/06/2003,2003,SD,MI,MI,MI,.,"IrreSDective of the fact that the members of ICA can produce metcoke with less than 15% ash content, the Authority is inclined to agree with the exporters/ importers that only metcoke with ash content of 15% and below is a like article to the metcoke imported from China RP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-39,IND-AD-37,Indonesia,IDN,Purified Terephthalic Acid (PTA),12/20/1996,09/04/1997,09/04/1997,A,A,11/21/1997,SD,03/19/1998,03/19/1998,A,A,04/28/1998,SD,05/06/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-40,IND-AD-40,Japan,JPN,Vitamin C,05/26/1997,03/11/1998,03/11/1998,A,A,04/16/1998,SD,05/25/1998,05/25/1998,A,A,07/24/1998,SD,07/31/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-41,IND-AD-40,China,CHN,Vitamin C,05/26/1997,03/11/1998,03/11/1998,A,A,04/16/1998,SD,05/25/1998,05/25/1998,A,A,07/24/1998,SD,IF,IF,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-42,IND-AD-42,China,CHN,Magnesium,07/31/1997,02/06/1998,02/06/1998,A,A,05/04/1998,SD,07/24/1998,07/24/1998,A,A,10/22/1998,SD,05/01/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-43,IND-AD-43,China,CHN,Metallurgical Coke,08/28/1997,03/20/1998,03/20/1998,A,A,05/06/1998,SD,08/27/1998,08/27/1998,A,A,10/27/1998,SD,01/21/2009,2009,SD,MI,MI,MI,.,"Hot rolled coils, plates, sheets, and strips originating in of exported from  Russia, Kazakhstan and Ukraine have been exported to India below their   normal value, except for hot rolled coils-originating in Kazakhstan, resulting in dumping;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-44,IND-AD-44,South Korea,KOR,Polystyrene,09/16/1997,05/12/1998,05/12/1998,A,A,06/30/1998,SD,09/14/1998,09/14/1998,A,A,11/17/1998,SD,06/08/2004,2004,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-45,IND-AD-44,Japan,JPN,Polystyrene,09/16/1997,05/12/1998,05/12/1998,A,A,06/30/1998,SD,09/14/1998,09/14/1998,A,A,11/17/1998,SD,06/08/2004,2004,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-46,IND-AD-44,Taiwan,TWN,Polystyrene,09/16/1997,05/12/1998,05/12/1998,A,A,06/30/1998,SD,09/14/1998,09/14/1998,A,A,11/17/1998,SD,06/08/2004,2004,SD,MI,MI,MI,.,"Final: No Anti-Dumping duty have been recommended by the Authority on imports of TSD from Finland as there were no import of TSD into India from Finland during the Period of Investigation (POl). In view of the above, the Finnish exporters should be excluded from the investigation.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-47,IND-AD-44,Malaysia,MYS,Polystyrene,09/16/1997,05/12/1998,05/12/1998,A,A,06/30/1998,SD,09/14/1998,09/14/1998,A,A,11/17/1998,SD,06/08/2004,2004,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-48,IND-AD-48,Russia,RUS,Hot Rolled Coils/Sheets/Plates/Strips ,10/06/1997,06/17/1998,06/17/1998,A,A,.,.,11/18/1998,11/18/1998,A,A,11/27/1998,SD,11/27/2003,2003,SD,MI,MI,MI,.,no causal link was found in the preliminary stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-49,IND-AD-48,Ukraine,UKR,Hot Rolled Coils/Sheets/Plates/Strips ,10/06/1997,06/17/1998,06/17/1998,A,A,.,.,11/18/1998,11/18/1998,A,A,11/27/1998,SD,11/27/2003,2003,SD,MI,MI,MI,.,no causal link was found in the preliminary stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-50,IND-AD-48,Kazakhstan ,KAZ ,Hot Rolled Coils/Sheets/Plates/Strips ,10/06/1997,06/17/1998,06/17/1998,A,A,.,.,11/18/1998,11/18/1998,A,A,11/27/1998,SD,MI,MI,SD,MI,MI,MI,.,no causal link was found in the preliminary stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-51,IND-AD-51,China,CHN,Fused Magnesia ,11/04/1997,.,.,B,B,.,.,02/02/1999,02/02/1999,A,A,03/17/1999,SD,07/01/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-52,IND-AD-52,China,CHN,Lovastatin ,12/22/1997,09/23/1998,09/23/1998,A,A,11/24/1998,SD,12/18/1998,12/18/1998,A,A,01/29/1999,SD,11/04/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-53,IND-AD-53,Japan,JPN,Acrylic Fibre,01/07/1998,10/20/1998,10/20/1998,A,A,11/17/1998,SD,12/24/1998,12/24/1998,A,A,01/22/1999,SD,IF,IF,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-54,IND-AD-53,Portugal,PRT,Acrylic Fibre,01/07/1998,10/20/1998,10/20/1998,A,A,11/17/1998,SD,12/24/1998,12/24/1998,A,A,01/22/1999,SD,11/10/2004,2004,SD,MI,MI,MI,.,No exports during SSR POI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-55,IND-AD-53,Spain,ESP,Acrylic Fibre,01/07/1998,10/20/1998,10/20/1998,A,A,11/17/1998,SD,12/24/1998,12/24/1998,A,A,01/22/1999,SD,11/10/2004,2004,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-56,IND-AD-53,Italy,ITA,Acrylic Fibre,01/07/1998,10/20/1998,10/20/1998,A,A,11/17/1998,SD,12/24/1998,12/24/1998,A,A,01/22/1999,SD,11/10/2004,2004,SD,MI,MI,MI,.,"Authority observes that the petitioner is related to the exporter.  It is therefore considered necessary to withdraw the antidumping duties recommended provisionally, vide Notification No. 23/1/97/ADD dated 2.12.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-57,IND-AD-57,Germany,DEU,Sewing Machine Needles,01/16/1998,12/02/1998,12/02/1998,W,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Having decided to review the final findings notified vide No. 144 dated 8th Aug., 1995, the Authority hereby initiates investigations to review the need for continued imposition of the anti-dumping duty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-58,IND-AD-57,Japan,JPN,Sewing Machine Needles,01/16/1998,12/02/1998,12/02/1998,A,A,12/24/1998,SD,04/12/1999,04/12/1999,N,N,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-59,IND-AD-57,South Korea,KOR,Sewing Machine Needles,01/16/1998,12/02/1998,12/02/1998,A,A,12/24/1998,SD,04/12/1999,04/12/1999,N,N,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-60,IND-AD-57,China,CHN,Sewing Machine Needles,01/16/1998,12/02/1998,12/02/1998,A ,A ,12/24/1998,SD,04/12/1999,04/12/1999,N,N,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-61,IND-AD-57,Czech Republic,CZE,Sewing Machine Needles,01/16/1998,12/02/1998,12/02/1998,W,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-62,IND-AD-62,China,CHN,Calcium Carbide,01/28/1998,08/24/1998,08/24/1998,A,A,10/05/1998,SD,01/22/1999,01/22/1999,A,A,03/11/1999,SD,04/06/2004,2004,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-63,IND-AD-62,Romania,ROU,Calcium Carbide,01/28/1998,08/24/1998,08/24/1998,A,A,10/05/1998,SD,01/22/1999,01/22/1999,A,A,03/11/1999,SD,04/06/2004,2004,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-64,IND-AD-64,China,CHN,Orthochloro Benzaldehyde,02/19/1998,10/14/1998,10/14/1998,A,A,11/24/1998,SD,12/18/1998,12/18/1998,A,A,01/22/1999,SD,11/24/2003,2003,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-65,IND-AD-64,France,FRA,P-Tert Butyl Catechol,02/19/1998,11/26/1998,11/26/1998,A,A,MI,SD,02/15/1999,02/15/1999,A,A,MI,SD,MI,2000,SD,MI,MI,MI,.,The domestic industry would suffer material injury in case the anti-dumping duty in force is removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-66,IND-AD-66,China,CHN,Citric Acid ,03/18/1998,10/20/1998,10/20/1998,A,A,11/24/1998,DPU,03/15/1999,03/15/1999,A,A,04/29/1999,DPU,11/24/2003,2003,DPU ,MI,MI,G/ADP/N/53/IND,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-67,IND-AD-67,Japan,JPN,Styrene Butadiene Rubber (SBR),04/07/1998,01/21/1999,01/21/1999,A,A,04/26/1999,SD,06/02/1999,06/02/1999,A,A,08/24/1999,SD,IF,IF,SD,MI,MI,MI,.,"First investigation on product HSC 400219 only, MTR & SSR also on 390390;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-68,IND-AD-67,South Korea,KOR,Styrene Butadiene Rubber (SBR),04/07/1998,01/21/1999,01/21/1999,A,A,04/26/1999,SD,06/02/1999,06/02/1999,A,A,08/24/1999,SD,IF,IF,SD,MI,MI,MI,.,"First investigation on product HSC 400219 only, MTR & SSR also on 390390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-69,IND-AD-67,Turkey,TUR,Styrene Butadiene Rubber (SBR),04/07/1998,01/21/1999,01/21/1999,A,A,04/26/1999,SD,06/02/1999,06/02/1999,A,P,08/24/1999,SD,07/27/2004,2004,SD,MI,MI,MI,.,"Final: of three grades 1500, 1700 and 1900 under consideration, no injury caused by 1700 from Turkey; First investigation on product HSC 400219 only, MTR & SSR also on 390390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-70,IND-AD-67,Taiwan,TWN,Styrene Butadiene Rubber (SBR),04/07/1998,01/21/1999,01/21/1999,A,A,04/26/1999,SD,06/02/1999,06/02/1999,A,P,08/24/1999,SD,07/27/2004,2004,SD,MI,MI,MI,.,"Final: of three grades 1500, 1700 and 1900 under consideration, no injury caused by 1700 from Taiwan; First investigation on product HSC 400219 only, MTR & SSR also on 390390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-71,IND-AD-67,USA,USA,Styrene Butadiene Rubber (SBR),04/07/1998,01/21/1999,01/21/1999,A,A,04/26/1999,SD,06/02/1999,06/02/1999,A,P,08/24/1999,SD,IF,IF,SD,MI,MI,MI,.,"Final: of three grades 1500, 1700 and 1900 under consideration, no injury caused by 1500 from USA; First investigation on product HSC 400219 only, MTR & SSR also on 390390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-72,IND-AD-67,Germany,DEU,Styrene Butadiene Rubber (SBR),04/07/1998,01/21/1999,01/21/1999,A,A,.,.,06/02/1999,06/02/1999,A,N,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-73,IND-AD-67,France,FRA,Styrene Butadiene Rubber (SBR),04/07/1998,01/21/1999,01/21/1999,A,A,.,.,06/02/1999,06/02/1999,A,N,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-74,IND-AD-74,Japan,JPN,Ethylene Propylene Diene Rubber (EPDM),05/20/1998,12/24/1998,12/24/1998,A,A,MI,SD,05/14/1999,05/14/1999,A,A,07/13/1999,SD,04/12/2004,2004,SD,MI,MI,MI,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
