V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,CASE_CBSA,CASE_CITT,RELATED_CVD,INIT_DATE_CBSA,INIT_DATE_CITT,P_AVG_DUTY,F_AVG_DUTY,TERM_DATE,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-21,CAN-AD-21,Czechoslovakia,CSV,Rubber Hockey Pucks,08/21/1985,11/18/1985,MI,A,MI,11/18/1985,AVD,02/07/1986,03/18/1986,A,A,03/18/1986,AVD,12/19/1990,1990,AVD,.,.,.,MI,MI,.,08/21/1985,.,66.40,63.32,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-22,CAN-AD-21,East Germany,GDR,Rubber Hockey Pucks,08/21/1985,11/18/1985,MI,A,MI,11/18/1985,AVD,02/07/1986,03/18/1986,A,A,03/18/1986,AVD,12/19/1990,1990,AVD,.,.,.,MI,MI,.,08/21/1985,.,58.92-59.05,55.15,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-23,CAN-AD-23,Belgium,BEL,12-Gauge Shotshells,09/12/1985,12/04/1985,MI,A,MI,12/04/1985,AVD,02/24/1986,03/27/1986,A,A,03/27/1986,AVD,10/04/1989,1989,AVD,.,.,.,MI,MI,.,09/12/1985,.,37.00,12.52,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-24,CAN-AD-23,France,FRA,12-Gauge Shotshells,09/12/1985,12/04/1985,MI,A,MI,12/04/1985,AVD,02/24/1986,03/27/1986,A,A,03/27/1986,AVD,10/04/1989,1989,AVD,.,.,.,MI,MI,.,09/12/1985,.,10.0-21.0,35.77,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-25,CAN-AD-23,Italy,ITA,12-Gauge Shotshells,09/12/1985,12/04/1985,MI,A,MI,12/04/1985,AVD,02/24/1986,03/27/1986,A,A,03/27/1986,AVD,10/04/1989,1989,AVD,.,.,.,MI,MI,.,09/12/1985,.,13.0-28.0,14.31,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-26,CAN-AD-23,United Kingdom,GBR,12-Gauge Shotshells,09/12/1985,12/04/1985,MI,A,MI,12/04/1985,AVD,02/24/1986,03/27/1986,A,A,03/27/1986,AVD,10/04/1989,1989,AVD,.,.,.,MI,MI,.,09/12/1985,.,14.0-25.0,5.97,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-27,CAN-AD-27,China,CHN,Photo Albums,09/20/1985,10/17/1985,MI,A,MI,10/17/1985,AVD,01/14/1986,02/14/1986,A,A,02/14/1986,AVD,01/11/2000,2000,AVD,.,.,.,MI,MI,.,09/20/1985,.,34.0-43.0,68.49,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-28,CAN-AD-28,Korea,KOR,Colour Televisions,09/03/1985,11/29/1985,MI,A,MI,11/29/1985,AVD,02/14/1986,03/27/1986,A,N,.,.,.,.,.,.,.,.,MI,MI,.,09/03/1985,.,8.22,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-29,CAN-AD-29,USA,USA,Oil and Gas Well Casing,09/20/1985,12/17/1985,MI,A,MI,12/17/1985,AVD,03/17/1986,04/17/1986,A,A,04/17/1986,AVD,07/04/2001,2001,AVD,.,.,.,MI,MI,.,09/20/1985,.,13.39,3.7 (Maverick Tube) 14.06 for all others,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-30,CAN-AD-29,Korea,KOR,Oil and Gas Well Casing,09/20/1985,12/17/1985,MI,A,MI,12/17/1985,AVD,03/17/1986,04/17/1986,A,A,04/17/1986,AVD,07/04/2001,2001,AVD,.,.,.,MI,MI,.,09/20/1985,.,9.76,10.34,.,final average duty is the average of 3 margins given in foreign firms sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-31,CAN-AD-29,West Germany,FRG,Oil and Gas Well Casing,09/20/1985,12/17/1985,MI,A,MI,12/17/1985,AVD,03/17/1986,04/17/1986,A,A,04/17/1986,AVD,06/10/1991,1991,AVD,.,.,.,MI,MI,.,09/20/1985,.,3.34,10.12,.,final average duty is the average of 3 margins given in foreign firms sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-32,CAN-AD-29,Argentina,ARG,Oil and Gas Well Casing,09/20/1985,12/17/1985,MI,A,MI,12/17/1985,AVD,03/17/1986,04/17/1986,A,A,04/17/1986,AVD,06/10/1991,1991,AVD,.,.,.,MI,MI,.,09/20/1985,.,47.20,40.13,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-33,CAN-AD-29,Austria,AUT,Oil and Gas Well Casing,09/20/1985,12/17/1985,MI,A,MI,12/17/1985,AVD,.,.,T,.,.,.,.,.,.,.,.,.,MI,.,.,09/20/1985,.,2.44,0.00,03/17/1986,no dumping found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-34,CAN-AD-34,USA,USA,Whole Potatoes,10/18/1985,12/20/1985,MI,A,MI,12/20/1985,AVD,03/20/1986,04/18/1986,A,A,04/18/1986,AVD,IF,IF,AVD,.,.,.,MI,MI,.,10/18/1985,.,30.70,32.40,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-35,CAN-AD-35,Japan,JPN,Single Use Hypodermic Needles and Syringes,11/08/1985,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,.,.,11/08/1985,.,0.00,0.00,01/28/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-36,CAN-AD-36,USA,USA,Single Use Hypodermic Needles and Syringes,11/08/1985,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,.,.,11/08/1985,.,0.00,0.00,01/28/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-37,CAN-AD-37,Taiwan,TWN,Drywall Screws,12/20/1985,03/12/1986,MI,A,MI,03/12/1986,AVD,06/06/1986,07/10/1986,A,A,07/10/1986,AVD,01/25/1991,1991,AVD,.,.,.,MI,MI,.,12/20/1985,.,23.00,32.35,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-38,CAN-AD-38,Korea,KOR,Spandex Filament Yarn,02/14/1986,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,.,.,02/14/1986,.,0.00,0.00,05/14/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-39,CAN-AD-39,Korea,KOR,Abs Resin,03/19/1986,06/17/1986,MI,A,MI,06/17/1986,AVD,09/09/1986,10/15/1986,A,A,10/15/1986,AVD,09/30/1991,1991,AVD,.,.,.,MI,MI,.,03/19/1986,.,29.33,17.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-40,CAN-AD-40,Belgium,BEL,Artificial Graphite Electrodes,04/30/1986,07/29/1986,MI,A,MI,07/29/1986,AVD,10/27/1986,11/26/1986,A,A,11/26/1986,AVD,11/27/1991,1991,AVD,.,.,.,MI,MI,.,04/30/1986,.,13.62,3.86,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-41,CAN-AD-40,Japan,JPN,Artificial Graphite Electrodes,04/30/1986,07/29/1986,MI,A,MI,07/29/1986,AVD,10/27/1986,11/26/1986,A,A,11/26/1986,AVD,11/27/1991,1991,AVD,.,.,.,MI,MI,.,04/30/1986,.,27.28,43.45,.,final average duty is the average of 5 margins given in the foreign firms sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-42,CAN-AD-40,Sweden,SWE,Artificial Graphite Electrodes,04/30/1986,07/29/1986,MI,A,MI,07/29/1986,AVD,10/27/1986,11/26/1986,A,A,11/26/1986,AVD,11/27/1991,1991,AVD,.,.,.,MI,MI,.,04/30/1986,.,9.02,9.02,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-43,CAN-AD-40,USA,USA,Artificial Graphite Electrodes,04/30/1986,07/29/1986,MI,A,MI,07/29/1986,AVD,10/27/1986,11/26/1986,A,A,11/26/1986,AVD,11/27/1991,1991,AVD,.,.,.,MI,MI,.,04/30/1986,.,18.25,22.42,.,final average duty is the average of 3 margins given in the foreign firms sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-44,CAN-AD-44,USA,USA,Pressure Cleaners,06/16/1986,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,.,.,06/16/1986,.,0.00,0.00,11/07/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-45,CAN-AD-45,Korea,KOR,Drywall Screws,08/01/1986,10/23/1986,MI,A,MI,10/23/1986,AVD,01/16/1987,02/20/1987,A,A,02/20/1987,AVD,01/25/1991,1991,AVD,.,.,.,MI,MI,.,08/01/1986,.,31.12,14.88,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-46,CAN-AD-46,West Germany,FRG,Oil and Gas Well Casing,08/20/1986,.,.,OTH,.,11/18/1986,PU,.,.,.,.,.,PU,11/13/2001,2001,PU,.,.,.,MI,.,.,08/20/1986,.,0.00,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-47,CAN-AD-46,Japan,JPN,Oil and Gas Well Casing,08/20/1986,.,.,OTH,.,11/18/1986,PU,.,.,.,.,.,PU,11/13/2001,2001,PU,.,.,.,MI,.,.,08/20/1986,.,0.00,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-48,CAN-AD-48,USA,USA,Tile Backer Board,10/08/1986,.,.,OTH,.,02/19/1987,PU,.,.,.,.,.,PU,02/16/1990,1990,PU,.,.,.,MI,.,.,10/08/1986,.,0.00,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-49,CAN-AD-49,USA,USA,Yellow Onions,10/14/1986,01/12/1987,MI,A,MI,01/12/1987,AVD,04/01/1987,04/30/1987,A,A,04/30/1987,AVD,05/21/1997,1997,AVD,.,.,.,MI,MI,.,10/14/1986,.,35.0-56.0,42.58,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-50,CAN-AD-50,West Germany,FRG,Gasoline Powered Chain Saws,10/24/1986,03/06/1987,MI,A,MI,03/06/1987,AVD,06/04/1987,07/03/1987,A,A,07/03/1987,AVD,02/17/1992,1992,AVD,.,.,.,MI,MI,.,10/24/1986,.,30.71,26.44,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-51,CAN-AD-50,Sweden,SWE,Gasoline Powered Chain Saws,10/24/1986,03/06/1987,MI,A,MI,03/06/1987,AVD,06/04/1987,07/03/1987,A,A,07/03/1987,AVD,02/17/1992,1992,AVD,.,.,.,MI,MI,.,10/24/1986,.,20.32,16.55,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-52,CAN-AD-50,USA,USA,Gasoline Powered Chain Saws,10/24/1986,03/06/1987,MI,A,MI,03/06/1987,AVD,06/04/1987,07/03/1987,A,A,07/03/1987,AVD,02/17/1992,1992,AVD,.,.,.,MI,MI,.,10/24/1986,.,33.35,18.42,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-53,CAN-AD-53,USA,USA,Absorbant Clay,11/14/1986,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,.,.,11/14/1986,.,0.00,0.00,02/12/1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-54,CAN-AD-54,USA,USA,Fertilizer Blending Equipment,03/05/1987,06/02/1987,MI,A,MI,06/02/1987,AVD,08/28/1987,09/30/1987,A,N,.,.,.,.,.,.,.,.,MI,MI,.,03/05/1987,.,7.97,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-55,CAN-AD-55,Japan,JPN,Printing Plates,04/01/1987,06/30/1987,05/29/1987,A,A,06/30/1987,AVD,09/25/1987,10/27/1987,A,N,10/27/1987,.,.,.,.,.,.,.,MI,MI,.,04/01/1987,.,45.71,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-56,CAN-AD-55,United Kingdom,GBR,Printing Plates,04/01/1987,06/30/1987,05/29/1987,A,A,06/30/1987,AVD,09/25/1987,10/27/1987,A,A,10/27/1987,AVD,05/22/1992,1992,AVD,.,.,.,MI,MI,.,04/01/1987,.,28.60,31.88,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-57,CAN-AD-57,West Germany,FRG,High Voltage Porcelain Station Post Insulators,04/08/1987,.,.,OTH,.,07/07/1987,.,.,.,.,.,.,PU,07/06/1990,1990,PU,.,.,.,MI,.,.,04/08/1987,.,0.00,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-58,CAN-AD-57,Japan,JPN,High Voltage Porcelain Station Post Insulators,04/08/1987,.,.,OTH,.,07/07/1987,.,.,.,.,.,.,PU,07/06/1990,1990,PU,.,.,.,MI,.,.,04/08/1987,.,0.00,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-59,CAN-AD-59,Malaysia,MYS,Photo Albums,04/09/1987,07/06/1987,MI,A,MI,07/06/1987,AVD,10/02/1987,11/03/1987,A,A,11/03/1987,AVD,01/11/2000,2000,AVD,.,.,.,MI,MI,.,04/09/1987,.,45.10,49.30,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-60,CAN-AD-59,Singapore,SGP,Photo Albums,04/09/1987,07/06/1987,MI,A,MI,07/06/1987,AVD,10/02/1987,11/03/1987,A,A,11/03/1987,AVD,01/11/2000,2000,AVD,.,.,.,MI,MI,.,04/09/1987,.,45.60,52.90,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-61,CAN-AD-59,Taiwan,TWN,Photo Albums,04/09/1987,07/06/1987,MI,A,MI,07/06/1987,AVD,10/02/1987,11/03/1987,A,A,11/03/1987,AVD,01/11/2000,2000,AVD,.,.,.,MI,MI,.,04/09/1987,.,53.30,60.80,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-62,CAN-AD-62,Spain,ESP,Phenol,05/22/1987,08/20/1987,MI,A,MI,08/20/1987,AVD,11/06/1987,12/18/1987,A,N,.,.,.,.,.,.,.,.,MI,MI,.,05/22/1987,.,40.60,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-63,CAN-AD-63,Spain,ESP,Wide Flange Steel Shapes,05/22/1987,08/20/1987,MI,A,MI,08/20/1987,AVD,11/16/1987,12/18/1987,A,A,12/18/1987,AVD,09/10/1990,1990,AVD,.,.,.,MI,MI,.,05/22/1987,.,6.14,7.26 (for Spanish Companies) 10.60 (for US companies exporting Spanish goods),.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-64,CAN-AD-64,Mexico,MEX,Hot-Rolled Carbon Steel Reinforcing Bars,05/27/1987,08/25/1987,MI,A,MI,08/25/1987,AVD,11/20/1987,12/22/1987,A,N,.,.,.,.,.,.,.,.,MI,MI,.,05/27/1987,.,20.62,0.00,.,exclusions in the prelim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-65,CAN-AD-64,USA,USA,Hot-Rolled Carbon Steel Reinforcing Bars,05/27/1987,08/25/1987,MI,A,MI,08/25/1987,AVD,11/20/1987,12/22/1987,A,N,.,.,.,.,.,.,.,.,MI,MI,.,05/27/1987,.,20.66,0.00,.,exclusions in the prelim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-66,CAN-AD-66,East Germany,GDR,Solid Urea,05/29/1987,08/27/1987,07/27/1987,A,A,08/27/1987,AVD,11/25/1987,12/24/1987,A,N,.,.,.,.,.,.,.,.,MI,MI,.,05/29/1987,.,66.47,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-67,CAN-AD-66,USSR,USR,Solid Urea,05/29/1987,08/27/1987,07/27/1987,A,A,08/27/1987,AVD,11/25/1987,12/24/1987,A,N,.,.,.,.,.,.,.,.,MI,MI,.,05/29/1987,.,61.35,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-68,CAN-AD-68,France,FRA,Drywall Screws,06/04/1987,09/02/1987,MI,A,MI,09/02/1987,AVD,11/30/1987,12/31/1987,A,A,12/31/1987,AVD,01/25/1991,1991,AVD,.,.,.,MI,MI,CAN-CVD-6,06/04/1987,.,38.20,38.20,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-69,CAN-AD-69,Korea,KOR,Automobiles,07/15/1987,11/24/1987,MI,A,MI,11/24/1987,AVD,02/19/1988,03/23/1988,A,N,.,.,.,.,.,.,.,.,MI,MI,.,07/15/1987,.,36.30,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-70,CAN-AD-70,West Germany,FRG,Photo Albums with Pocket Sheets,08/28/1987,10/30/1987,MI,A,MI,10/30/1987,AVD,01/22/1988,02/26/1988,A,A,02/26/1988,AVD,2/24/1998,1998,AVD,.,.,.,MI,MI,.,08/28/1987,.,44.80,44.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-71,CAN-AD-70,Hong Kong,HKG,Photo Albums with Pocket Sheets,08/28/1987,10/30/1987,MI,A,MI,10/30/1987,AVD,01/22/1988,02/26/1988,A,A,02/26/1988,AVD,2/24/1998,1998,AVD,.,.,.,MI,MI,.,08/28/1987,.,71.60,64.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-72,CAN-AD-70,Japan,JPN,Photo Albums with Pocket Sheets,08/28/1987,10/30/1987,MI,A,MI,10/30/1987,AVD,01/22/1988,02/26/1988,A,A,02/26/1988,AVD,2/24/1998,1998,AVD,.,.,.,MI,MI,.,08/28/1987,.,23.30,24.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
