V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,P_AVG_DUTY,F_AVG_DUTY,PET_DATE,INJ_INIT_DATE,DUMP_INIT_DATE,TERM_DATE,NOTES,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-69,TWN-AD-68,Brazil,BRA,Hot-Rolled Steel Coil,10/01/1993,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10/1993,MI,MI,11/1993,Rejected due to noncompliance with application requirements.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-70,TWN-AD-68,Canada,CAN,Hot-Rolled Steel Coil,10/01/1993,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10/1993,MI,MI,11/1993,Rejected due to noncompliance with application requirements.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-71,TWN-AD-68,Japan,JPN,Hot-Rolled Steel Coil,10/01/1993,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10/1993,MI,MI,11/1993,Rejected due to noncompliance with application requirements.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-72,TWN-AD-68,South Korea,KOR,Hot-Rolled Steel Coil,10/01/1993,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10/1993,MI,MI,11/1993,Rejected due to noncompliance with application requirements.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-73,TWN-AD-68,South Africa,ZAF,Hot-Rolled Steel Coil,10/01/1993,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10/1993,MI,MI,11/1993,Rejected due to noncompliance with application requirements.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-74,TWN-AD-68,USA,USA,Hot-Rolled Steel Coil,10/01/1993,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10/1993,MI,MI,11/1993,Rejected due to noncompliance with application requirements.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-75,TWN-AD-75,Poland,POL,Caprolactam,11/01/1993,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11/1993,MI,MI,7/1994,Withdrawn by the applicant,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-76,TWN-AD-76,South Korea,KOR,Carbon Black,04/01/1994,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4/1994,MI,MI,8/1994,Withdrawn by the applicant,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-77,TWN-AD-77,Japan,JPN,Bars and Rods (Hot Rolled in Coils of Stainless Steel),12/02/1994,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1/1994,12/02/1994,12/02/1994,03/25/1995,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-78,TWN-AD-78,Pakistan,PAK,Cotton Yarn,12/10/1994,05/02/1995,02/17/1995,A,A,.,.,07/25/1995,10/11/1995,A,N,.,.,.,.,.,.,.,.,.,.,2/1994,12/10/1994,12/10/1994,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-79,TWN-AD-79,Japan,JPN,Stainless Steel Bars and Rods,03/10/1995,07/25/1995,05/11/1995,A,A,.,.,10/20/1995,12/27/1995,A,A,04/16/1996,SD,05/08/2001,2001,SD,.,.,.,.,59.46-77.26,12/1994,03/10/1995,03/10/1995,.,"1.   Anti-dumping duty levied at 59.46%~63.53% (SUS304/L), and 77.26% (SUS316/L) from April 16, 1996. ",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-80,TWN-AD-80,Australia,AUS,H-Beam,10/05/1996,03/20/1997,12/05/1996,A,A,03/20/1997,PU,.,.,.,.,.,.,06/14/2004,2004,.,.,.,.,.,.,7/1996,10/05/1996,10/05/1996,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-81,TWN-AD-80,South Korea,KOR,H-Beam,10/05/1996,03/20/1997,12/05/1996,A,A,03/20/1997,PU/OTH,07/09/1998,10/12/1998,A,A,12/14/1998,SD,05/13/2004,2004,SD,.,.,.,54.81,31.48,7/1996,10/05/1996,10/05/1996,.,"Jun. 9, 1998 Provisional duty (violation of the undertaking) South Korea: 54.81% Poland: 6.12% Russia: 39.23%",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-82,TWN-AD-80,Poland,POL,H-Beam,10/05/1996,03/20/1997,12/05/1996,A,A,03/20/1997,PU/OTH,07/09/1998,10/12/1998,A,A,12/14/1998,SD,05/13/2004,2004,SD,.,.,.,6.12,6.12,7/1996,10/05/1996,10/05/1996,.,"Jun. 9, 1998 Provisional duty (violation of the undertaking) South Korea: 54.81% Poland: 6.12% Russia: 39.23%",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-83,TWN-AD-80,Russia,RUS,H-Beam,10/05/1996,03/20/1997,12/05/1996,A,A,03/20/1997,PU/OTH,07/09/1998,10/12/1998,A,A,12/14/1998,SD,05/13/2004,2004,SD,.,.,.,39.23,34.65,7/1996,10/05/1996,10/05/1996,.,"Jun. 9, 1998 Provisional duty (violation of the undertaking) South Korea: 54.81% Poland: 6.12% Russia: 39.23%",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-84,TWN-AD-84,South Korea,KOR,Uncoated Stress-Relieved Steel Wires for Pre-Stressed Concrete,11/21/1997,04/30/1998,01/07/1998,A,A,.,.,07/09/1998,10/12/1998,A,A,12/14/1998,SD,12/13/2003,2003,SD,.,.,.,.,25.39-42.38,8/1997,11/21/1997,11/21/1997,.,"1.      AD Duty levied at 6.10%~ 9.95% (India), and 25.39%~ 42.38%(S. Korea) from Dec.14, 1998. Reference subheadings:7217.1030.00 2.      Negligible dumped imports for Spain. Terminated on Dec. 13, 2003, after expiration of the AD measures.",,,,,,,,,,
