V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,CASE_ITA,CASE_ITC,RELATED_CVD,ITC_REPCODE,INIT_DATE_ITA,INIT_DATE_ITC,TERM_DATE,P_AD_DUTY,F_AD_DUTY,INIT_ITA_GP,INIT_ITC_GP,P_DUMP_GP,P_INJ_GP,F_DUMP_GP,F_INJ_GP,F_AD_MEASURE_GP,TERM_GP,REVOKE_GP,SUSP_GP,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-18,USA-AD-18,Belgium,BEL,Carbon Steel Products,04/01/1980,MI,05/14/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,.,A-423-001,731-TA-018,.,731-TA-018,04/01/1980,MI,10/08/1980,MI,.,45/ 21404,MI,MI,45/ 31814,MI,MI,.,45/ 66833,.,.,"ITA case continued later under same number, this case missing online",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-19,USA-AD-18,West Germany,FRG,Carbon Steel Products,04/01/1980,MI,05/14/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,., A-428-004,731-TA-019,.,731-TA-018,04/01/1980,MI,10/08/1980,MI,.,45/ 21404,MI,MI,45/ 31814,MI,MI,.,45/ 66833,.,.,"ITA case continued later under same number, this case missing online",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-20,USA-AD-18,France,FRA,Carbon Steel Products,04/01/1980,MI,05/14/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,.,A-427-003,731-TA-020,.,731-TA-018,04/01/1980,MI,10/08/1980,MI,.,45/ 21404,MI,MI,45/ 31814,MI,MI,.,45/ 66833,.,.,"ITA case continued later under same number, this case missing online",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-21,USA-AD-18,Italy,ITA,Carbon Steel Products,04/01/1980,MI,05/14/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,.,A-475-001,731-TA-021,.,731-TA-018,04/01/1980,MI,10/08/1980,MI,.,45/ 21404,MI,MI,45/ 31814,MI,MI,.,45/ 66833,.,.,"ITA case continued later under same number, this case missing online",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-22,USA-AD-18,Luxembourg,LUX,Carbon Steel Products,04/01/1980,MI,05/14/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,.,A-423-008,731-TA-022,.,731-TA-018,04/01/1980,MI,10/08/1980,MI,.,45/ 21404,MI,MI,45/ 31814,MI,MI,.,45/ 66833,.,.,"ITA case continued later under same number, this case missing online",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-23,USA-AD-18,Netherlands,NLD,Carbon Steel Products,04/01/1980,MI,05/14/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,.,A-421-001,731-TA-023,.,731-TA-018,04/01/1980,MI,10/08/1980,MI,.,45/ 21404,MI,MI,45/ 31814,MI,MI,.,45/ 66833,.,.,"ITA case continued later under same number, this case missing online",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-24,USA-AD-18,United Kingdom,GBR,Carbon Steel Products,04/01/1980,MI,05/14/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,.,A-412-004,731-TA-024,.,731-TA-018,04/01/1980,MI,10/08/1980,MI,.,45/ 21404,MI,MI,45/ 31814,MI,MI,.,45/ 66833,.,.,"ITA case continued later under same number, this case missing online",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-25,USA-AD-25,France,FRA,Anhydrous Sodium Metasilicate,05/29/1980,09/05/1980,07/09/1980,A,A,09/05/1980,AVD,11/24/1980,01/02/1981,A,A,01/07/1981,AVD,10/21/2004,2004,AVD,.,.,.,A-427-098,731-TA-025,.,731-TA-025,06/10/1980,05/29/1980,.,50,37.80,45/ 39324,45/ 39324,45/ 36228,45/ 46255,45/ 36228,46/ 176,46/ 1667,.,69/ 61789,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-26,USA-AD-26,South Korea,KOR,Steel Wire Nails,04/20/1979,MI,MI,MI,MI,MI,MI,05/23/1980,08/13/1980,MI,N,.,.,.,.,.,.,.,., A-580-001 ,731-TA-026,.,731-TA-026,04/20/1979,05/19/1980,.,MI,.,44/ 23621,45/34941,MI,MI,45/ 34941,45/ 53924,.,.,.,.,preliminary filings missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-27,USA-AD-27,Japan,JPN,Menthol,06/19/1980,.,08/06/1980,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A-588-001,731-TA-027,.,731-TA-027,07/02/1980,06/19/1980,.,.,.,45/ 44976,45/ 41548,.,45/ 52273,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-28,USA-AD-27,China,CHN,Menthol,06/19/1980,01/14/1981,08/06/1980,A,A,01/14/1981,AVD,05/01/1981,06/17/1981,A,N,.,.,.,.,.,.,.,.,A-570-100,731-TA-028,.,731-TA-027,07/02/1980,06/19/1980,.,13.5,.,45/ 44976,45/ 41548,46/ 3258,45/ 52273,46/ 24614,46/ 31796,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-29,USA-AD-29,Canada,CAN,Asphalt Roofing Shingles,09/04/1980,.,10/16/1980,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A-122-021,731-TA-029,.,731-TA-029,09/17/1980,09/04/1980,.,.,.,45/61652,45/ 58728,.,45/ 68803,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-30,USA-AD-30,East Germany,GDR,Montan Wax,08/24/1980,03/12/1981,11/06/1980,A,A,03/12/1981,AVD,07/28/1981,09/10/1981,A,A,09/10/1981,AVD,05/07/1986,1986,AVD,.,.,.,A-429-101,731-TA-030,.,731-TA-030,09/30/1980,08/24/1980,.,29.5,6.58,45/ 64611,45/63390,46/ 11628,45/ 73821,46/ 38555,45/ 45223,46/ 45177,.,51/ 16883,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-31,USA-AD-31,West Germany,FRG,Barium Carbonate,09/24/1980,02/18/1981,11/06/1980,A,A,02/18/1981,AVD,05/07/1981,06/24/1981,A,A,06/25/1981,AVD,MI,MI,AVD,.,.,.,A-428-061,731-TA-031,.,731-TA-031,10/06/1980,09/24/1980,.,9.9,9.90,45/66185,45/63388,46/ 12767,45/ 73812,46/ 25494,46/ 32698,46/ 32864,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-32,USA-AD-32,West Germany,FRG,Strontium Carbonate,09/24/1980,.,11/06/1980,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A-428-103,731-TA-032,.,731-TA-032,10/06/1980,09/24/1980,.,.,.,45/66186,45/63388,.,45/ 73812,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-33,USA-AD-33,Italy,ITA,Strontium Nitrate,09/24/1980,02/18/1981,11/06/1980,A,A,02/18/1981,AVD,05/07/1981,06/24/1981,A,A,06/25/1981,AVD,12/21/1987,1987,AVD,.,.,.,A-475-104,731-TA-033,.,731-TA-033,10/06/1980,09/24/1980,.,5.8,2.60,45/66187,45/63388,46/ 12769,45/ 73812,46/ 25496,46/ 32700,46/ 32864,.,52/ 48313,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-34,USA-AD-34,Switzerland,CHE,Portable Electric Nibblers,09/24/1980,.,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A-441-001,731-TA-034,.,731-TA-034,10/17/1980,09/24/1980,10/16/1980,.,.,45/ 68988,45/ 63390,.,.,.,.,.,45/ 68812,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-35,USA-AD-35,Switzerland,CHE,Portable Electric Nibblers,10/22/1980,.,12/03/1980,.,N,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,731-TA-035,.,731-TA-035,.,10/22/1980,.,.,.,.,45/ 70160,.,45/ 80209,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-36,USA-AD-36,West Germany,FRG,Snow Grooming Vehicles and Parts,11/20/1980,.,01/05/1981,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A-428-001,731-TA-036,.,731-TA-036,12/05/1980,11/20/1980,.,.,.,45/80565,45/ 76811,.,46/ 1049,.,.,.,.,., ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-37,USA-AD-37,India,IND,Certain Iron Castings,12/03/1980,05/27/1981,01/14/1981,N,A,.,.,08/05/1981,.,N,.,.,.,.,.,.,.,.,.,A-533-001,731-TA-037,.,731-TA-037,12/12/1980,12/03/1980,.,.,.,45/ 81802,45/ 80208,46/ 28463,46/ 3302,46/ 39869,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-38,USA-AD-38,Hungary,HUN,Truck Trailer Axles and Brakes,02/25/1981,09/17/1981,04/08/1981,A,A,09/17/1981,AVD,.,.,.,OTH,01/20/1982,SA,03/27/1996,.,SA,.,.,.,A-437-001,731-TA-038,.,731-TA-038,03/11/1981,02/25/1981,.,68.1,.,46/16109,46/ 14095,46/ 46152,46/ 21121,.,.,.,.,61/ 13481,47/2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-39,USA-AD-39,West Germany,FRG,Tubeless-Tire Valves,03/11/1981,.,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A-428-002,731-TA-039,.,731-TA-039,.,03/11/1981,03/18/1981,.,.,.,46/ 16162,.,.,.,.,.,46/ 17312,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-40,USA-AD-40,United Kingdom,GBR,Secondary Alluminum Alloy,04/08/1981,.,05/20/1981,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A-412-003,731-TA-040,.,731-TA-040,04/22/1981,04/08/1981,.,.,.,46 / 22920,46/ 21120,.,46/ 27586,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-41,USA-AD-41,West Germany,FRG,Tubeless-Tire Valves,04/15/1981,09/23/1981,06/03/1981,N,A,.,.,11/30/1981,.,N,.,.,.,.,.,.,.,.,.,A-428-002,731-TA-041,.,731-TA-041,04/27/1981,04/15/1981,.,.,.,46 / 23510,46/ 22088,46/ 46980,46/ 29794,46/ 58133,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-42,USA-AD-42,Taiwan,TWN,Motorcycle Batteries,05/13/1981,10/14/1981,06/24/1981,A,A,10/14/1981,AVD,03/04/1982,03/31/1982,A,N,.,.,.,.,.,.,.,.,A-583-001,731-TA-042,.,731-TA-042,05/27/1981,05/13/1981,.,9.6,.,46 / 28465,46/ 26589,46/ 50577,46/ 32696,47/ 9264,47/ 13609,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-43,USA-AD-43,Colombia,COL,Fresh Cut Roses,06/17/1981,.,.,T,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A-301-002,731-TA-043,.,731-TA-043,.,06/17/1981,06/30/1981,.,.,.,46/ 31795,.,.,.,.,.,46/ 33575,.,.,ITA never initiated because two documents submitted to it had conflicting information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-44a,USA-AD-44a,France,FRA,Liquid Sorbitol,06/24/1981,11/30/1981,08/05/1981,A,A,11/30/1981,AVD,02/12/1982,04/07/1982,A,A,04/09/1982,AVD,07/21/2010,2010,AVD,.,.,.,A-427-001,731-TA-044a,.,731-TA-044,07/10/1981,06/24/1981,.,3.9,5.50,46 / 35716,46/ 32700,46/ 58134,46/ 39914,47/ 6459,47/ 14981,47/ 15391,.,.,.,remanded 1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-44b,USA-AD-44a,France,FRA,Crystaline Sorbitol,06/24/1981,11/30/1981,08/05/1981,A,A,11/30/1981,AVD,02/12/1982,04/07/1982,A,A,04/09/1982,AVD,07/21/2010,2010,AVD,.,.,.,A-427-001,731-TA-044b,.,731-TA-044,06/24/1981,06/24/1981,.,3.9,2.90,46/ 32700,46/ 32700,46/ 58134,46/ 39914,47/ 6459,47/ 14981,47/ 15391,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-45,USA-AD-45,Japan,JPN,Steel Wire Nails,07/02/1981,.,.,T,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A-588-004,731-TA-045,.,731-TA-045,07/02/1981,07/08/1981,08/14/1981,.,.,46 / 34613,46/ 35394,.,.,.,.,.,46/ 41122,.,.,terminated after a memorandum of understanding agreement with Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-46,USA-AD-45,South Korea,KOR,Steel Wire Nails,07/02/1981,02/03/1982,08/26/1981,A,A,02/03/1982,AVD,06/24/1982,08/11/1982,A,A,08/13/1982,AVD,10/01/1985,1985,AVD,.,.,.,A-580-001,731-TA-046,.,731-TA-045,07/02/1981,07/08/1981,.,4,3.80,46 / 34615,46/ 35394,47/ 5028,46/ 43117,47/ 27392,47/ 34864,47/ 35266,.,50/ 40045,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-47,USA-AD-45,Yugoslavia,YUG,Steel Wire Nails,07/02/1981,.,08/26/1981,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A-479-001,731-TA-047,.,731-TA-045,07/02/1981,07/08/1981,.,.,.,46 / 34614,46/ 35394,.,46/ 43117,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-48a,USA-AD-48a,Japan,JPN,Twt Amplifier Assemblies and Parts,08/05/1981,12/31/1981,09/16/1981,A,A,12/31/1981,AVD,05/21/1982,07/08/1982,A,A,07/20/1982,AVD,11/23/1998,1998,AVD,.,.,.,A-588-005,731-TA-048a,.,731-TA-048,08/17/1981,08/05/1981,.,16.6,25.40,46 / 41542,46/ 39912,46/ 63364,46/ 46021,47/ 22134,47/ 29278,47/ 31413,.,63/ 64677,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-48b,USA-AD-48a,Japan,JPN,Klystrom Amplifier Assemblies and Parts,08/05/1981,12/31/1981,09/16/1981,A,A,12/31/1981,AVD,05/21/1982,07/08/1982,A,A,07/20/1982,AVD,11/23/1998,1998,AVD,.,.,.,A-588-005,731-TA-048b,.,731-TA-048,08/17/1981,08/05/1981,.,16.6,41.40,46 / 41542,46/ 39912,46/ 63364,46/ 46021,47/ 22134,47/ 29278,47/ 31413,.,63/ 64677,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-49,USA-AD-49,Taiwan,TWN,Fireplace Mesh Panels,08/19/1981,01/22/1982,10/07/1981,A,A,01/22/1982,AVD,04/09/1982,05/26/1982,A,A,06/07/1982,AVD,08/12/1994,1994,AVD,.,.,.,A-583-003,731-TA-049,.,731-TA-049,09/08/1981,08/19/1981,.,2.31,4.70,46 / 44805,46/ 42219,47/ 3153,46/ 49679,47/ 15393,47/ 23053,47/ 24616,.,59/ 41430,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-50,USA-AD-50,Japan,JPN,Stainless Clad Plate,10/15/1981,03/22/1982,12/02/1981,A,A,03/22/1982,AVD,06/04/1982,07/29/1982,A,A,08/06/1982,AVD,09/20/1985,1985,AVD,.,.,.,A-588-003,731-TA-050,.,731-TA-050,10/15/1981,10/15/1981,.,14,14.00,46 / 50814,46/ 50864,47/ 12200,46/ 58619,47/ 24379,47/ 32809,47/ 34178,.,50/ 38151,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-51,USA-AD-51,Romania,ROU,Carbon Steel Plate,11/18/1981,.,01/08/1982,T,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A-485-006,731-TA-051,.,731-TA-051,11/18/1981,11/25/1981,02/08/1982,.,.,46 / 56637,46/57785,.,47/ 1050,.,.,.,47/ 5754,.,.,terminated without giving a specific reason (just cited the public interest),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-52,USA-AD-52,Canada,CAN,Sheet Piling,11/24/1981,06/28/1982,01/20/1982,A,A,06/28/1982,AVD,04/23/1991,06/05/1991,A,N,.,.,.,.,.,.,.,., A-122-007,731-TA-052,.,731-TA-052,11/24/1981,12/02/1981,.,1.9,.,46 / 57586,46/ 58618,47/ 27881,47/ 2947,56/ 18565,56/ 25695,.,.,.,47/41886,"9/22/1982 suspended, reopened 1990, has both ts numbers and hts number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-53,USA-AD-53,Belgium,BEL,Carbon Steel Plate,01/20/1982,08/16/1982,03/03/1982,A,A,08/16/1982,AVD,.,.,.,W,.,.,.,.,.,.,.,.,A-423-001,731-TA-053,USA-CVD-35,731-TA-053,02/01/1982,01/20/1982,10/29/1982,10.88,.,47 / 5745,47/ 2955,47/ 35646,47/ 9087,.,.,.,47/ 49058,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-54,USA-AD-53,France,FRA,Carbon Steel Plate,01/20/1982,.,03/03/1982,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A-427-003,731-TA-054,USA-CVD-37,731-TA-053,02/08/1982,01/20/1982,.,.,.,47 / 5740,47/ 2955,.,47/ 9087,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
